"industry_code";"year";"import_value"
33611;2002;13451.85
33611;2003;14660.34
33611;2004;14663.55
33611;2005;16005.03
33611;2006;17686.88
33611;2007;19810.13
33611;2008;17149.78
33611;2009;12366.57
33611;2010;16828.33
33611;2011;17737.79
33611;2012;18781.37
33611;2013;20298.5
33611;2014;21745.85
33611;2015;20829.5
33611;2016;21956.1
33611;2017;23467.67
33611;2018;22598.09
33611;2019;23838.05
33611;2020;18449.58
33611;2021;23734.95
33611;2022;28547.28
33611;2023;26668.02
33611;2024;25825.87
33612;2002;1859.5
33612;2003;2363.85
33612;2004;3117.99
33612;2005;3877.28
33612;2006;4298.65
33612;2007;3562.24
33612;2008;3068.52
33612;2009;2100.83
33612;2010;3082.54
33612;2011;4151.0
33612;2012;4761.56
33612;2013;4542.05
33612;2014;4355.34
33612;2015;4072.67
33612;2016;3464.41
33612;2017;4302.77
33612;2018;5133.13
33612;2019;5242.51
33612;2020;3814.48
33612;2021;4457.85
33612;2022;5408.24
33612;2023;6272.62
33612;2024;6532.79
33621;2005;1943.76
33621;2006;2517.49
33621;2007;2802.61
33621;2008;2710.53
33621;2010;2441.24
33621;2011;2781.31
33621;2012;3251.12
33621;2013;3470.15
33621;2014;3310.31
33621;2015;2591.42
33621;2016;2312.4
33621;2017;2647.76
33621;2018;3176.78
33621;2019;2696.66
33621;2021;3129.09
33621;2022;4092.86
33621;2023;3056.52
33631;2002;5571.65
33631;2003;5618.37
33631;2004;5768.58
33631;2005;5880.62
33631;2006;6114.11
33631;2007;6776.74
33631;2008;5603.24
33631;2009;3567.56
33631;2010;5070.64
33631;2011;4741.61
33631;2012;5666.02
33631;2013;5026.62
33631;2014;4817.27
33631;2015;4690.4
33631;2016;5391.43
33631;2017;5113.61
33631;2018;4496.61
33631;2019;4455.44
33631;2020;3888.9
33631;2021;3614.81
33631;2022;3674.19
33631;2023;5196.22
33631;2024;5477.27
33632;2002;1549.81
33633;2002;1917.55
33633;2003;1950.78
33633;2004;2133.29
33633;2005;2041.41
33633;2016;2064.17
33635;2002;4213.15
33635;2003;3961.34
33635;2004;4805.08
33635;2005;4810.95
33635;2006;4939.3
33635;2007;4777.8
33635;2008;3999.23
33635;2009;2454.58
33635;2010;3484.41
33635;2011;3581.11
33635;2012;3475.0
33635;2013;3748.46
33635;2014;3256.32
33635;2015;2882.51
33635;2016;3001.28
33635;2017;3325.42
33635;2018;3519.96
33635;2019;3375.69
33635;2020;2023.03
33635;2022;2596.16
33635;2023;3320.47
33635;2024;2977.49
33637;2002;1388.28
33637;2003;1422.1
33639;2002;8348.18
33639;2003;8352.88
33639;2004;8775.85
33639;2005;8782.16
33639;2006;8466.55
33639;2007;8967.48
33639;2008;7695.15
33639;2009;5528.78
33639;2010;7347.46
33639;2011;8182.3
33639;2012;8618.49
33639;2013;8495.61
33639;2014;8527.51
33639;2015;8199.6
33639;2016;8584.28
33639;2017;8400.03
33639;2018;8202.58
33639;2019;8177.02
33639;2020;6107.36
33639;2021;6159.14
33639;2022;7198.0
33639;2023;8873.13
33639;2024;8351.96
33641;2002;3187.08
33641;2003;3023.45
33641;2004;3362.9
33641;2005;4307.56
33641;2006;4238.14
33641;2007;5735.49
33641;2008;6438.54
33641;2009;4781.59
33641;2010;4408.64
33641;2011;4675.13
33641;2012;4653.78
33641;2013;5233.97
33641;2014;6672.62
33641;2015;7292.02
33641;2016;6273.96
33641;2017;6601.98
33641;2018;7759.55
33641;2019;8066.45
33641;2020;5747.67
33641;2021;5649.73
33641;2022;7668.56
33641;2023;7578.66
33641;2024;7093.66
33911;2004;1463.89
33911;2009;2067.76
33911;2010;2198.19
33911;2012;2563.62
33911;2013;2503.23
33911;2014;2525.87
33911;2015;2416.58
33911;2016;2253.58
33911;2017;2285.84
33911;2018;2398.63
33911;2019;2379.22
33911;2020;2291.11
33911;2021;2596.39
33911;2022;2645.27
33911;2023;2763.73
33911;2024;2750.73
41811;2006;1980.58
41811;2007;2563.03
41811;2008;3479.97
41811;2009;2351.98
41811;2010;2745.69
41811;2011;3404.12
41811;2012;2574.33
41811;2019;2388.41
41811;2020;3350.58
41811;2021;4201.31
41811;2022;4074.49
41811;2023;4740.24
41811;2024;5809.93
